model,layer,layer_norm,hidden_size,participation_ratio,top10_var_frac,top50_var_frac
qwen2.5-7b,25,0.8928571428571429,3584,21.49957249372809,0.5449235873590945,0.7111171668372105
qwen2.5-7b,26,0.9285714285714286,3584,19.857843995275164,0.5567066582591733,0.7209371640484842
qwen2.5-7b,27,0.9642857142857143,3584,12.86879961685531,0.6395768715232623,0.7645415580900248
qwen2.5-7b,28,1.0,3584,4.528781012482487,0.8895049318521892,0.9479168001767343
llama-3.1-8b,0,0.0,4096,6.602215878203835,0.7869004331922447,0.9431884535480088
llama-3.1-8b,1,0.03125,4096,13.03105765651801,0.6005587753489525,0.8109021292141706
llama-3.1-8b,2,0.0625,4096,28.180516628127247,0.44184210991300904,0.6707474673908248
llama-3.1-8b,3,0.09375,4096,35.20893194644434,0.41656452215108075,0.6295450861348434
llama-3.1-8b,4,0.125,4096,70.85457643298727,0.30843039425973745,0.5129702802988544
llama-3.1-8b,5,0.15625,4096,101.53730039896308,0.25269694238696355,0.4603134796082028
llama-3.1-8b,6,0.1875,4096,113.90985800585065,0.2406675863848833,0.44580161738034224
llama-3.1-8b,7,0.21875,4096,138.70735532407704,0.21794327162662944,0.4183178354705542
llama-3.1-8b,8,0.25,4096,155.77006132615298,0.20215856357986126,0.4012601535021591
llama-3.1-8b,9,0.28125,4096,159.02384551952545,0.1960298765993289,0.3843597488483729
llama-3.1-8b,10,0.3125,4096,130.97569372656784,0.20901607881734352,0.40274553140753394
llama-3.1-8b,11,0.34375,4096,128.11530336685277,0.20819080368482135,0.400411121168962
llama-3.1-8b,12,0.375,4096,128.52616392528017,0.21172706830606344,0.40298980008128243
llama-3.1-8b,13,0.40625,4096,136.52792490959848,0.20734673807362633,0.4102666285459793
llama-3.1-8b,14,0.4375,4096,135.81486955089096,0.21071766363524905,0.4186708534352066
llama-3.1-8b,15,0.46875,4096,121.54100901889963,0.22822862438730562,0.4392476818727614
llama-3.1-8b,16,0.5,4096,103.85634871275276,0.24697304623814756,0.46500020247530216
llama-3.1-8b,17,0.53125,4096,89.76041102619564,0.2700415156021115,0.4959320212955548
llama-3.1-8b,18,0.5625,4096,76.87419652772498,0.2965375639066691,0.528369085654425
llama-3.1-8b,19,0.59375,4096,66.12375437463457,0.32486276400341574,0.5623790811569342
llama-3.1-8b,20,0.625,4096,58.42263709750671,0.3497242513084375,0.5845435294619449
llama-3.1-8b,21,0.65625,4096,47.035459931550776,0.391428247292901,0.6153860258062116
llama-3.1-8b,22,0.6875,4096,45.151765282756806,0.40326932976151614,0.6251258590470625
llama-3.1-8b,23,0.71875,4096,40.72060051381819,0.4276560031540826,0.6429025933013452
llama-3.1-8b,24,0.75,4096,41.876488810856785,0.4236024379879259,0.6430849791797253
llama-3.1-8b,25,0.78125,4096,29.921842099467675,0.4941454827560433,0.6847676297113975
llama-3.1-8b,26,0.8125,4096,29.962345673282783,0.49287591215112014,0.6811403947091331
llama-3.1-8b,27,0.84375,4096,21.05171369786997,0.5625614793845181,0.7225199592530338
llama-3.1-8b,28,0.875,4096,19.57034645894593,0.576691825838509,0.7259638248799666
llama-3.1-8b,29,0.90625,4096,19.136437757583156,0.5775048261298934,0.721303863542545
llama-3.1-8b,30,0.9375,4096,18.379889274349352,0.5822348957629824,0.7224670659780897
llama-3.1-8b,31,0.96875,4096,13.70673823014733,0.6487784635432394,0.7649734671722224
llama-3.1-8b,32,1.0,4096,9.502051924754088,0.7379147837086931,0.8424269916513308
